;0;1;2;3
CODALUNO;195531119.7146433;194539179.43824703;180040779.41025642;192794148.66666666
ENEMLINGUAGEM;588.7345431789737;590.5370517928286;559.6512820512821;568.6750000000001
ENEMHUMANAS;611.3851063829787;632.7960159362549;621.6025641025641;577.6750000000001
ENEMNATURAIS;559.4272841051314;584.5560756972112;539.6410256410256;521.2083333333334
ENEMMATEMATICA;622.9292866082603;679.4593625498007;637.048717948718;591.2708333333334
ENEMREDACAO;725.4630788485607;693.5906374501992;676.9230769230769;653.125
CURSO;88.55944931163955;100.55876494023904;106.07692307692308;84.625
CODTURNOINGRESSO;6.956195244055069;6.398406374501992;5.435897435897436;5.583333333333333
CODTURNOATUAL;6.401752190237797;6.24402390438247;4.538461538461538;5.125
CR;3.8963329161451816;2.9829581673306773;2.3225641025641024;4.138333333333334
NOTADISC;44.297872340425535;35.00796812749004;27.23076923076923;53.291666666666664
RESULTDISC;0.5281602002503129;0.41733067729083667;0.3076923076923077;0.5416666666666666
PERIODODISC;20140.647058823528;20140.43625498008;20137.74358974359;20139.625
ANOINGRESSO;2013.637046307885;2013.617529880478;2013.3333333333333;2013.5833333333333
SEMESTREINGRESSO;1.818523153942428;1.8087649402390438;1.6666666666666667;1.7916666666666667
ANODESVINCULACAO;2015.8785982478098;2015.6922310756972;2015.2051282051282;2016.25
SEMESTREDESVINCULACAO;1.5431789737171464;1.5727091633466135;1.6153846153846154;1.4583333333333333
IDADE;26.171464330413016;26.99402390438247;40.05128205128205;34.166666666666664
cep_origem;25305167.515644554;25334889.288844623;25797656.102564104;26352297.041666668
MOBILIDADE;0.0;0.0;0.0;0.0
CHCURSADA;420.7984981226533;327.5049800796813;304.97435897435895;319.0
TRANCAMENTOS;0.02127659574468085;0.02091633466135458;0.05128205128205128;0.0
TEMPOPERMANENCIA;3.241551939924906;3.0747011952191237;2.871794871794872;3.6666666666666665
DISTANCIA_NUM;57.27051314142678;49.33961752988048;65.06728205128205;68.02083333333333
